app	source_tree	emitted_lines	points_identified	distinct_identifiers	kept_identifiers	kept_points	filtered_identifiers	filtered_points	kept_region_boilerplate	kept_region_generator_specific	kept_region_wrapper_metadata	kept_region_unknown	multi_point_kept_identifiers	wall_seconds	peak_rss_kb	clang_exit_status
bgu	HM-armc-fix	16151	51737	32372	5565	5579	26807	46158	32	5532	1	0	14	16.08	266948	0
bilateral_grid	HM-armc	5973	9858	6463	1348	1352	5115	8506	35	1312	1	0	4	1.61	149712	0
blur	HM-armc	4261	2310	1663	347	347	1316	1963	15	331	1	0	0	0.89	130700	0
camera_pipe	HM-armc-fix	6337	9852	6411	1163	1182	5248	8670	35	1127	1	0	19	3.85	153360	0
conv_layer	HM-armc	5557	4804	3773	837	837	2936	3967	16	820	1	0	0	1.14	140100	0
depthwise_separable_conv	HM-armc	7064	11606	8352	1822	1822	6530	9784	32	1789	1	0	0	3.86	172480	0
harris	HM-armc	4656	4031	2806	591	591	2215	3440	16	574	1	0	0	1.49	134648	0
hist	HM-armc	5009	4533	3170	647	651	2523	3882	29	617	1	0	4	1.23	137640	0
iir_blur	HM-armc	4800	3184	2214	471	471	1743	2713	22	448	1	0	0	1.19	134004	0
interpolate	HM-armc	12676	36770	24322	4767	4767	19555	32003	32	4734	1	0	0	7.93	261072	0
lens_blur	HM-armc	14805	50298	32494	6308	6359	26186	43939	39	6268	1	0	25	21.91	449332	0
local_laplacian	HM-armc	17045	55720	36617	7085	7128	29532	48592	33	7051	1	0	20	28.65	491796	0
max_filter	HM-armc	4673	3836	2770	605	610	2165	3226	33	571	1	0	5	1.15	135252	0
nl_means	HM-armc	7554	16253	10635	2128	2138	8507	14115	32	2095	1	0	10	8.71	194468	0
stencil_chain	HM-armc	19090	61922	47077	7529	7529	39548	54393	31	7497	1	0	0	26.01	323620	0
unsharp	HM-armc	5104	5675	3951	828	828	3123	4847	32	795	1	0	0	3.6	139340	0
