identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:2530:42	boilerplate	1	0	1	_halide_buffer_init	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3357:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3541:19	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3542:67	generator_specific	1	0	1	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3549:21	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3552:21	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3557:21	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3560:21	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3565:21	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3568:21	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
