identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:2530:42	boilerplate	1	0	1	_halide_buffer_init	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3250:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm16EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3251:25	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm16EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3270:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm16EE11load_gatherEPKvDv16_i	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3357:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm16EE3maxEDv16_fS2_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3387:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm16EE6selectEDv16_hDv16_iS3_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3659:20	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3661:20	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3665:20	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3667:20	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3672:20	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3674:20	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3677:50	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3677:71	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3680:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3682:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3684:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3686:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3687:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3688:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3689:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3691:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3695:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3696:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3697:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3698:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3699:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3700:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3701:51	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3701:72	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3704:22	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3709:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
