identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:2530:42	boilerplate	1	0	1	_halide_buffer_init	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3250:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3251:25	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3270:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE11load_gatherEPKvDv8_i	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3587:20	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3591:21	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3609:21	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3610:86	generator_specific	1	0	1	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3612:38	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3614:38	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3617:21	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3618:20	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3619:69	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3619:99	generator_specific	1	0	1	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3628:42	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/iir_blur/iir_blur.halide_generated.cpp:3630:22	generator_specific	1	1	0	_ZL67iir_blur_par_for_transpose_s0_v2_rebased_par_for_transpose_s0_v1_v6PviPh	
