identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10002:35	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10003:35	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10008:49	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10010:35	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10011:98	generator_specific	1	0	1	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10016:36	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10021:127	generator_specific	1	0	1	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10021:90	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10023:60	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/interpolate/interpolate.halide_generated.cpp:10024:37	generator_specific	1	1	0	_ZL37interpolate_par_for_normalize_s0_y_v9PviPh	
