identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10003:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10007:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10017:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10019:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10020:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10022:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10023:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10025:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10026:60	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10026:82	generator_specific	1	0	1	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10033:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10034:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10036:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10041:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10043:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10044:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10046:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10049:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10050:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10051:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10058:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10059:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10061:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10064:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10066:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10067:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10069:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10072:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10073:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10074:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10085:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10086:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10088:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10093:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10095:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10096:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10098:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10101:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10102:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10103:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10110:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10111:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10113:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10116:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10118:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10119:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10121:37	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10124:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10125:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10126:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10136:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10138:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10141:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10143:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10147:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10153:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10155:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10157:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10162:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10164:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10166:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10168:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10171:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10173:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10177:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10179:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10184:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10186:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10188:34	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10193:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10195:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10199:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10202:36	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/lens_blur/lens_blur.halide_generated.cpp:10219:35	generator_specific	1	1	0	_ZL31lens_blur_par_for_f26_s0_v2_v18PviPh	
