app	identifier	region	points	functions
bgu	cxx_gt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:252:15	boilerplate	2	_Z14halide_cpp_maxIfET_RKS0_S2_,_Z14halide_cpp_maxIiET_RKS0_S2_
bgu	cxx_gt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3358:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_
bgu	cxx_gt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:252:15	boilerplate	2	_Z14halide_cpp_maxIfET_RKS0_S2_,_Z14halide_cpp_maxIiET_RKS0_S2_
bgu	cxx_gt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3358:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_
bgu	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:257:15	boilerplate	2	_Z14halide_cpp_minIfET_RKS0_S2_,_Z14halide_cpp_minIiET_RKS0_S2_
bgu	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3357:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_
bgu	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3371:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3minEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_
bgu	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3372:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3minEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_
bgu	cxx_lt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:257:15	boilerplate	2	_Z14halide_cpp_minIfET_RKS0_S2_,_Z14halide_cpp_minIiET_RKS0_S2_
bgu	cxx_lt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3357:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_
bgu	cxx_lt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3371:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3minEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_
bgu	cxx_lt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3372:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3minEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_
bgu	cxx_post_inc_to_post_dec:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3357:40	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_
bgu	cxx_post_inc_to_post_dec:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src/bgu/bgu.halide_generated.cpp:3371:40	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3minEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_
bilateral_grid	cxx_gt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/bilateral_grid/bilateral_grid.halide_generated.cpp:252:15	boilerplate	2	_Z14halide_cpp_maxIfET_RKS0_S2_,_Z14halide_cpp_maxIiET_RKS0_S2_
bilateral_grid	cxx_gt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/bilateral_grid/bilateral_grid.halide_generated.cpp:252:15	boilerplate	2	_Z14halide_cpp_maxIfET_RKS0_S2_,_Z14halide_cpp_maxIiET_RKS0_S2_
bilateral_grid	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/bilateral_grid/bilateral_grid.halide_generated.cpp:257:15	boilerplate	2	_Z14halide_cpp_minIfET_RKS0_S2_,_Z14halide_cpp_minIiET_RKS0_S2_
bilateral_grid	cxx_lt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/bilateral_grid/bilateral_grid.halide_generated.cpp:257:15	boilerplate	2	_Z14halide_cpp_minIfET_RKS0_S2_,_Z14halide_cpp_minIiET_RKS0_S2_
camera_pipe	cxx_gt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:252:15	boilerplate	2	_Z14halide_cpp_maxIfET_RKS0_S2_,_Z14halide_cpp_maxIiET_RKS0_S2_
camera_pipe	cxx_gt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3358:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIsLm32EE3maxEDv32_sS2_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE3maxEDv32_tS2_
camera_pipe	cxx_gt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:252:15	boilerplate	2	_Z14halide_cpp_maxIfET_RKS0_S2_,_Z14halide_cpp_maxIiET_RKS0_S2_
camera_pipe	cxx_gt_to_le:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3358:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIsLm32EE3maxEDv32_sS2_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE3maxEDv32_tS2_
camera_pipe	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:257:15	boilerplate	2	_Z14halide_cpp_minIfET_RKS0_S2_,_Z14halide_cpp_minIiET_RKS0_S2_
camera_pipe	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3357:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIsLm32EE3maxEDv32_sS2_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE3maxEDv32_tS2_
camera_pipe	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3371:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIsLm32EE3minEDv32_sS2_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE3minEDv32_tS2_
camera_pipe	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3372:25	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsIsLm32EE3minEDv32_sS2_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE3minEDv32_tS2_
camera_pipe	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3387:30	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsItLm16EE6selectEDv16_hDv16_tS3_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE6selectEDv32_hDv32_tS3_
camera_pipe	cxx_lt_to_ge:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/camera_pipe_armcfix/camera_pipe.halide_generated.cpp:3409:44	boilerplate	2	_ZN12_GLOBAL__N_115NativeVectorOpsItLm16EE2ltEDv16_tS2_,_ZN12_GLOBAL__N_115NativeVectorOpsItLm32EE2ltEDv32_tS2_
