identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:2530:42	boilerplate	1	0	1	_halide_buffer_init	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3250:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3251:25	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3270:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE11load_gatherEPKvDv8_i	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3357:40	boilerplate	2	0	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3maxEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3371:40	boilerplate	2	0	2	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE3minEDv8_fS2_,_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3630:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3632:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3637:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3639:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3643:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3645:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3647:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3648:21	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3649:102	generator_specific	1	0	1	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3649:71	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3652:22	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3655:22	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3656:22	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3657:22	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3660:23	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3662:23	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3680:23	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3681:23	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3682:63	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3682:89	generator_specific	1	0	1	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3686:24	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3688:24	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3689:24	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3690:64	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3690:90	generator_specific	1	0	1	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3693:25	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3695:25	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3696:25	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3697:63	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3697:88	generator_specific	1	0	1	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3699:26	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3700:41	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/nl_means/nl_means.halide_generated.cpp:3705:41	generator_specific	1	1	0	_ZL40nl_means_par_for_non_local_means_s0_y_tyPviPh	
