app	operator	total_identifiers	total_points	kept_identifiers	kept_points	filtered_identifiers
bgu	cxx_add_to_sub	2162	2164	2123	2123	39
bgu	cxx_div_to_mul	38	38	38	38	0
bgu	cxx_eq_to_ne	138	138	137	137	1
bgu	cxx_gt_to_ge	40	42	40	42	0
bgu	cxx_gt_to_le	40	42	40	42	0
bgu	cxx_le_to_gt	54	54	54	54	0
bgu	cxx_le_to_lt	54	54	54	54	0
bgu	cxx_lt_to_ge	45	49	45	49	0
bgu	cxx_lt_to_le	45	49	45	49	0
bgu	cxx_minus_to_noop	1	1	0	0	1
bgu	cxx_mul_to_div	1201	1201	1200	1200	1
bgu	cxx_ne_to_eq	19	19	17	17	2
bgu	cxx_post_inc_to_post_dec	2162	2164	38	40	2124
bgu	cxx_pre_inc_to_pre_dec	2162	2164	0	0	2162
bgu	cxx_remove_void_call	22658	42003	183	183	22475
bgu	cxx_replace_scalar_call	396	396	395	395	1
bgu	cxx_sub_to_add	1157	1159	1156	1156	1
bilateral_grid	cxx_add_to_sub	624	624	584	584	40
bilateral_grid	cxx_div_to_mul	5	5	5	5	0
bilateral_grid	cxx_eq_to_ne	17	17	16	16	1
bilateral_grid	cxx_gt_to_ge	30	31	30	31	0
bilateral_grid	cxx_gt_to_le	30	31	30	31	0
bilateral_grid	cxx_le_to_gt	15	15	15	15	0
bilateral_grid	cxx_le_to_lt	15	15	15	15	0
bilateral_grid	cxx_lt_to_ge	42	43	42	43	0
bilateral_grid	cxx_lt_to_le	42	43	42	43	0
bilateral_grid	cxx_minus_to_noop	1	1	0	0	1
bilateral_grid	cxx_mul_to_div	282	282	281	281	1
bilateral_grid	cxx_ne_to_eq	15	15	13	13	2
bilateral_grid	cxx_post_inc_to_post_dec	624	624	39	39	585
bilateral_grid	cxx_pre_inc_to_pre_dec	624	624	0	0	624
bilateral_grid	cxx_remove_void_call	3880	7268	21	21	3859
bilateral_grid	cxx_replace_scalar_call	95	95	94	94	1
bilateral_grid	cxx_sub_to_add	122	125	121	121	1
blur	cxx_add_to_sub	121	121	116	116	5
blur	cxx_div_to_mul	7	7	7	7	0
blur	cxx_eq_to_ne	11	11	10	10	1
blur	cxx_gt_to_ge	7	7	7	7	0
blur	cxx_gt_to_le	7	7	7	7	0
blur	cxx_le_to_gt	14	14	14	14	0
blur	cxx_le_to_lt	14	14	14	14	0
blur	cxx_lt_to_ge	11	11	11	11	0
blur	cxx_lt_to_le	11	11	11	11	0
blur	cxx_minus_to_noop	1	1	0	0	1
blur	cxx_mul_to_div	42	42	42	42	0
blur	cxx_ne_to_eq	10	10	8	8	2
blur	cxx_post_inc_to_post_dec	121	121	5	5	116
blur	cxx_pre_inc_to_pre_dec	121	121	0	0	121
blur	cxx_remove_void_call	1080	1727	12	12	1068
blur	cxx_replace_scalar_call	72	72	71	71	1
blur	cxx_sub_to_add	13	13	12	12	1
