identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10000:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10003:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10004:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10007:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10008:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10011:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10012:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10015:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10037:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/stencil_chain/stencil_chain.halide_generated.cpp:10040:42	generator_specific	1	1	0	_ZL40stencil_chain_par_for_stage_9_s0_x_v2_v4PviPh	
