identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:2530:42	boilerplate	1	0	1	_halide_buffer_init	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3250:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3251:25	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE4rampEii	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3270:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIfLm8EE11load_gatherEPKvDv8_i	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3357:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3maxEDv8_iS2_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3371:40	boilerplate	1	0	1	_ZN12_GLOBAL__N_115NativeVectorOpsIiLm8EE3minEDv8_iS2_	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3626:21	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3629:22	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3646:23	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3679:24	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3684:24	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3689:24	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3693:24	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3701:24	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3702:113	generator_specific	1	0	1	_ZL30unsharp_par_for_output_s0_y_v0PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3705:49	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3706:51	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3706:70	generator_specific	1	0	1	_ZL30unsharp_par_for_output_s0_y_v0PviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/unsharp/unsharp.halide_generated.cpp:3709:26	generator_specific	1	1	0	_ZL30unsharp_par_for_output_s0_y_v0PviPh	
